Country,CAM,CB,CDM,CF,CM,GK,LB,LM,LW,LWB,RB,RM,RW,RWB,ST,Best,Age,Potential,Overall,Value,Wage
Slovenia,81,76,74,76,71,88,76,72,68,,73,69,65,,76,88,26.4,4640,4437,227.15,876
Somalia,,,,,,,,,,,,,,,68,68,28.0,68,68,0.90,3
South Africa,76,72,74,69,74,77,71,72,76,66,75,70,70,71,72,77,26.1,5412,5185,101.03,240
Spain,86,90,88,83,86,90,85,87,84,76,84,84,83,73,86,90,25.2,76203,71268,4603.28,19015
Sri Lanka,,,,,,,,60,,,,,,,,60,22.0,70,60,0.33,1
St Kitts Nevis,,,,70,,,66,,,,,57,,,,70,26.7,202,193,2.69,34
St Lucia,,62,,,,,,,,,,,,,,62,23.0,67,62,0.35,2
Sudan,62,,,,,,,,,,,,,,58,62,22.5,133,120,0.59,6
Suriname,68,,,,70,,,,,,70,,,,,70,27.7,209,208,3.85,17
Swaziland,,,,,,,,,,,,,63,,,63,20.0,72,63,0.58,2
Sweden,73,80,79,80,77,75,75,83,76,73,73,75,66,67,88,88,25.1,25501,23740,505.32,2361
Switzerland,78,81,82,71,77,84,74,76,68,,74,82,82,72,75,84,24.1,16547,14872,466.49,2411
Syria,,,,,72,,,,,,,,,,78,78,26.3,453,435,33.93,160
Tanzania,,,,,,,,,,,,,,,73,73,22.5,151,135,6.03,18
Thailand,65,,,,,,,,,,,,,,,65,21.5,137,118,0.81,3
Togo,,74,66,,,,,,65,,70,74,,,74,74,28.0,578,568,25.15,126
Trinidad & Tobago,,,71,,68,,,71,68,,68,74,60,,69,74,25.1,645,614,16.66,55
Tunisia,68,72,74,,70,63,77,72,64,66,75,68,71,,72,77,27.2,2196,2110,53.27,330
Turkey,79,83,80,79,79,79,75,76,82,68,75,77,56,72,78,83,25.1,20929,19559,667.80,3962
Turkmenistan,,,,,,,,,,,,63,,,,63,30.0,63,63,0.35,4
Uganda,,,,,70,,64,,,,,,64,,,70,24.8,269,251,2.57,15
Ukraine,75,80,80,,74,79,71,79,72,,75,81,60,,74,81,26.0,3601,3432,177.89,534
United States,69,80,73,65,78,78,71,78,71,68,79,76,71,76,76,80,25.3,26526,24763,440.66,1900
Uruguay,72,88,78,78,76,82,74,78,77,70,77,77,68,74,92,92,26.1,11198,10630,634.35,2652
Uzbekistan,,71,,,,,80,,,,,67,63,,,80,27.6,352,342,13.85,86
Venezuela,76,74,77,,68,75,75,75,,,76,77,68,,80,80,24.8,3780,3521,148.55,556
Vietnam,,,61,,,,,,,,,,,,,61,22.0,67,61,0.35,1
Wales,77,82,70,,74,74,74,67,62,78,70,82,89,71,76,89,24.9,8617,7902,232.90,1951
Zambia,61,71,73,,50,,,69,,,,,,,63,73,22.0,508,447,9.76,67
Zimbabwe,,71,,73,73,,60,,,,,73,65,,67,73,25.5,784,732,19.60,82
